"filename", "language", "SCSS", "JSON", "TypeScript", "Markdown", "HTML", "XML", "JavaScript", "comment", "blank", "total"
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcp-list-products\tcp-list-products.component.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 10, 84
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcs-list-systems\tcs-list-systems.component.html", "HTML", 0, 0, 0, 0, 72, 0, 0, 5, 0, 77
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcs-list-systems\tcs-list-systems.component.scss", "SCSS", 49, 0, 0, 0, 0, 0, 0, 1, 1, 51
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcs-list-systems\tcs-list-systems.component.ts", "TypeScript", 0, 0, 121, 0, 0, 0, 0, 2, 15, 138
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcs-lista-verificacion-reunion-apertura\tcs-lista-verificacion-reunion-apertura.component.html", "HTML", 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcs-lista-verificacion-reunion-apertura\tcs-lista-verificacion-reunion-apertura.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcs-lista-verificacion-reunion-apertura\tcs-lista-verificacion-reunion-apertura.component.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 3, 11, 113
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcs-lista-verificacion-reunion-cierre\tcs-lista-verificacion-reunion-cierre.component.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcs-lista-verificacion-reunion-cierre\tcs-lista-verificacion-reunion-cierre.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcs-lista-verificacion-reunion-cierre\tcs-lista-verificacion-reunion-cierre.component.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 3, 14, 96
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tm-acta-reunion\tm-acta-reunion.component.html", "HTML", 0, 0, 0, 0, 142, 0, 0, 0, 1, 143
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tm-acta-reunion\tm-acta-reunion.component.scss", "SCSS", 45, 0, 0, 0, 0, 0, 0, 1, 1, 47
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tm-acta-reunion\tm-acta-reunion.component.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 8, 100
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\folder\folder-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\folder\folder.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
